교과목 이름,학년,이수구분,설강학과,선수강 과목,연결과목,교과목개요
인공지능과미래사회,1.0,교양필수,ICT융합학부,,,"파이썬 언어는 IT 실무 현장에서 가장 많이 사용 되는 언어 중의 하나 이며 인공지능 알고리즘을 개발하기에 적합한 언어이다.
본 과목에서는 이러한 파이썬 언어의 기본적인 문법과 여러가지 기능들을 배우며 다양한 학습을 통해서 실제 문제를 해결하는 방법을 익히게 될 것이다
코딩하는 과정을 통하여 문제를 해결하기 위한 논리적 사고방법과 창의력을 사고력을 증진 시킨다.  
마지막으로 다양한 실습 예제 들을 통하여 인공지능의 기본적인 개념과 원리를 이해한다."
인공지능기초,1.0,전공기초,수리데이터사이언스학과,,,본 교과목은 수리데이터사이언스학과 신입생의 학과 전공에 대한 이해를 돕고 파이썬의 활용에 대한 자신감을 키우고 학우들간에 함께 문제를 풀어가는 경험을 제공하자 하는 교육과정으로 구성되어 있습니다.
인공지능기초프로그래밍,,교양선택,ERICA 대학,,,"본 교과목에서는 인공지능에 관심이 있는 학생을 대상으로 4차 산업혁명 시대에 주목받고 있는 파이썬 프로그래밍 언어의 여러 가지 유형의 자료 처리와 제어구조, 파일 입출력 및 라이브러리 등을 학습한다. 이 언어를 사용하여 인공지능을 활용하기 위한 기초 코딩 실습 교육을 진행하고, 더 나아가 머신러닝/딥러닝과 같은 인공지능 분야에 활용할 수 있도록 한다."
인공지능로봇의이해,1.0,전공핵심,지능형로봇학과,,," 로봇과 인공지능은 4차 산업혁명을 대표하는 키워드로 인간의 잠재력을 증대시키고 증폭시켜 생산성을 높이고 단순한 추론에서부터 인간과 유사한 인지 능력을 향해 발전하고 있다.
 지금까지의 로봇은 반복작업 위주의 단순한 작업을 위한 것이었으나, 현재는 다양한 환경과 변화되는 작업을 위한 로봇이 필요하게 되었다. 따라서 본 수업에서는 협동로봇, 서비스로봇 등 미래 AI로봇과 관련된 전반적인 내용을 다룬다.
 수업은 로봇/제어/인공지능/통신에 대한 부분으로 나누어져 유동적으로 운영될 수 있으며, 이러한 주제를 학습하여 학생들은 지능형 로봇에 대한 기초를 다질 수 있다. [통합 개요] 로봇과 인공지능은 4차 산업혁명을 대표하는 키워드로 인간의 잠재력을 증대시키고 증폭시켜 생산성을 높이고 단순한 추론에서부터 인간과 유사한 인지 능력을 향해 발전하고 있다. 지금까지의 로봇은 반복작업 위주의 단순한 작업을 위한 것이었으나, 현재는 다양한 환경과 변화되는 작업을 위한 로봇이 필요하게 되었다. 따라서 본 수업에서는 협동로봇, 서비스로봇 등 미래 AI로봇과 관련된 전반적인 내용을 다룬다. [통합 개요] 인공지능로봇 개념에 대해 이해하고 다양한 로봇 연구 분야에 대해 학습한다
- 로봇 공학과 교수들의 옴니버스 강의
- 로봇 비전 및 지능, 인간과로봇 협업, 미세로봇, 휴머노이드, 의료 로봇, 우주 로봇, 로봇 핸드 등 다양한 로봇 분야에 대한 각 전문가들의 수업"
인공지능실습,2.0,전공핵심,인공지능학과,"선수 과목에 대한 제약은 없으나 프로그래밍 언어, 특히 파이썬에 대한 기초 문법과 사용 방법에 대한 이해가 필요함.",,"인공지능(AI)의 기본 개념부터 최신 기술까지 폭넓게 다루며, 이론과 실습을 병행하여 실제 머신러닝을 통한 인공지능 시스템 구현 능력을 기르는 것을 목표로 합니다. 본 교과목은 이 같은 목표를 극대화하기 위해서 프로젝트 기반의 학습 방식을 채택합니다. 
문제 해결을 위해 인공지능 시스템을 구현하는 일은 이론적 배경과 심무적 경험을 필요로 합니다. 
본 교과목에서는 인공지능의 중요한 부분 중 하나인 이미지 처리와 관련하여 이론적 배경을 다지기 위해 다음 내용을 학습하며, 이후 이를 응용하여 프로젝트를 진행합니다. 

1. 인공지능의 역사와 발전 과정
2. 머신러닝 개요 및 기본 원리
3. 인공신경망의 구조와 작동 방식
4. 선형회귀와 로지스틱 회귀 모델
5. 합성곱 신경망(CNN)의 이해
6. YOLO(You Only Look Once) 알고리즘"
인공지능연구실심화실습1,3.0,전공심화,인공지능학과,,,"-. 인공지능 관련 경험을 쌓기 위한 연구실 인턴 및 과제를 수행한다.
-. 연구주제에 대한 이해와 연구 활동에 참여하여 높은 수준의 학문을 탐색하고 이해한다. [통합 개요] 데이터사이언스 연구실 심화실습
아래 조건을 만족하는 학생들만 수강 가능함
1. 딥러닝 수강
2. 담당교수와 면담후 수강승인 [통합 개요] 본 과목의 목적은 학부생들에게 대학원에서의 연구주제와 연구활동을 미리 체험하게 함으로써 연구역량을 높이고 진로 설정에 도움을 주기 위함이다. [통합 개요] 연구 활동에 참여하여 높은 수준의 학문을 탐색하고 이해하며, 또한 연구 프로젝트에의 실질적인 기여를 추구한다.
(수강신청 전 유용재 교수와 면담 필수. 면담 없이 신청한 학생은 F 부여.) [통합 개요] 인공지능 관련 경험을 쌓기 위한 연구실 인턴 및 과제 수행 [통합 개요] 대학원 데이터베이스 연구실에서 수행하고 있는 연구주제에 대한 이해와 대학원 생활 및 비전에 대한 이해를 높이기 위한 교과목"
인공지능연구실심화실습3,4.0,전공심화,인공지능학과,,,"연구 활동에 참여하여 높은 수준의 학문을 탐색하고 이해하며, 또한 연구 프로젝트에의 실질적인 기여를 추구한다.
(수강신청 전 유용재 교수와 면담 필수. 면담 없이 신청한 학생은 F 부여. 4학년의 경우 진학 예정자만 수강 허가 예정입니다.)
 [통합 개요] *** 사전에 담당교수와의 면담을 통해 수강을 하락 받은 경우에만 수강 가능 (이메일 문의: nongaussian@gmail.com) ***

수강생은 빅데이터 마이닝 연구실의 연구활동에 참여해 볼 수 있는 기회를 얻을 수 있습니다. 빅데이터 마이닝 연구실은 실용적 어플리케이션 연구에 초점을 맞추어 데이터베이스와 같은 정형 데이터 혹은 이미지, 텍스트를 포함한 다양한 비정형데이터로부터 클러스터링, 패턴 마이닝, 추천 시스템 등을 연구합니다. 연구에 활용되는 기반 기술로서 MapReduce를 이용한 병렬컴퓨팅, 데이터마이닝 기법, 데이터 베이스, 자연어처리, 머신 러닝과 딥러닝 등을 폭 넓게 학습합니다. 

또한 산학R&D과제에 참여할 수 있으며(인건비 지급) 연구활동 참여 결과물을 발표/출판할 경우 학회참가 기회를 얻을 수 있습니다.

예를 들어 아래 주제와 같은 연구활동에 참여합니다.
* LLM의 RAG 혹은 프롬프트 엔지니어링
* LLM의 효율성 개선
* 이미지 데이터의 효율적 검색과 생성

물론 이 밖의 어떤 주제든 연구 가능합니다.
 [통합 개요] 본 과목의 목적은 학부생들에게 대학원에서의 연구주제와 연구활동을 미리 체험하게 함으로써 연구역량을 높이고 진로 설정에 도움을 주기 위함이다. [통합 개요] -. 인공지능 관련 경험을 쌓기 위한 연구실 인턴 및 과제를 수행한다.
-. 연구주제에 대한 이해와 연구 활동에 참여하여 높은 수준의 학문을 탐색하고 이해한다. [통합 개요] 대학원 DB&AI 연구실에서 수행하고 있는 연구주제에 대한 이해와 대학원 생활 및 비전에 대한 이해를 높이기 위한 교과목"
인공지능연구실심화실습4,4.0,전공심화,인공지능학과,,,"연구 활동에 참여하여 높은 수준의 학문을 탐색하고 이해하며, 또한 연구 프로젝트에의 실질적인 기여를 추구한다.
(수강신청 전 유용재 교수와 면담 필수. 심화실습 4는 본 연구실 진학예정자만 수강 가능.)"
인공지능의이해,2.0,전공핵심,디자인테크놀로지전공,,,"이 수업은 인공지능에 대한 지적 호기심을 충족시킬 수 있는 다양한 이론과 예제를 다룹니다.
학생들은 인공지능을 이해하는 데 필요한 확률, 집합론 등의 수학 이론부터 인공지능 논리와 실생활 사례까지 전반적인 내용을 배울 수 있습니다.
또한, 현실에서 접할 수 있는 다양한 실생활 예제를 통해 인공지능 시스템들의 원리와 특징을 알아보고 해결 과정을 살펴봅니다. [통합 개요] 인공지능　관련　기술에　대한　사전　이해가　없는　학생들을　대상으로　인공지능의　개념，　기계학습의　원리，　다양한　활용사례를　소개함으로써　메타버스　시대에　요구되는　기초소양을　학습한다．　특히,　최근　각광받는 인공신경망，딥러닝，머신러닝의　알고리즘을　파이썬　언어로　작성한　사례　중심의　설명을　통해　원리이해를　돕고　활용　능력을　제고한다."
인공지능캡스톤디자인1,3.0,전공심화,인공지능학과,,,"이 과목은 학생들이 인공지능 기술을 이용하여 실제 문제를 해결하는 프로젝트를 진행하도록 설계되었습니다. 학생들은 팀을 이루어 주제를 선정하고, 프로젝트를 기획하고, 구현하며, 결과를 발표합니다. 이 과정에서 인공지능 알고리즘, 데이터 처리, 모델링, 평가 방법 등을 실습하게 됩니다."
인공지능캡스톤디자인2,4.0,전공심화,인공지능학과,,,"학생들이 선정한 주제에 따라 캡스톤디자인 프로젝트를 제작, 완성한다. 
지도교수 미팅 - 캡스톤 작품 제작을 위하여 지도교수님과 미팅을 갖고 조언을 받음. [통합 개요] 본 과목의 목적은 팀 단위 소프트웨어 개발 프로젝트를 직접 수행해 봄으로써, 신뢰성 있는 소프트웨어를
효율적으로 개발하기 위한 다양한 기법들을 배우는 것이다. 효율적인 소프트웨어 개발을 위한 소프트웨
어 요구 사항 분석 기법, 체계적인 소프트웨어 분석 및 설계 기법, 구현, 문서화 및 테스트 기법 등과 같은
다양한 기법들을 배우고, 또한 팀 기반 소프트웨어 개발 프로젝트에서 필요한 발표력과 팀웍 등과 같은
의사 소통 능력을 습득하여 소프트웨어 개발에 필요한 실무적인 기술들을 배운다. [통합 개요] 인공지능캡스톤 [통합 개요] 본 과목의 목적은 팀 단위 소프트웨어 개발 프로젝트를 직접 수행해 봄으로써, 신뢰성 있는 소프트웨어를 효율적으로 개발하기 위한 다양한 기법들을 배우는 것이다. 효율적인 소프트웨어 개발을 위한 소프트웨어 요구 사항 분석 기법, 체계적인 소프트웨어 분석 및 설계 기법, 구현, 문서화 및 테스트 기법 등과 같은 다양한 기법들을 배우고, 또한 팀 기반 소프트웨어 개발 프로젝트에서 필요한 발표력과 팀웍 등과 같은 의사 소통 능력을 습득하여 소프트웨어 개발에 필요한 실무적인 기술들을 배운다."
인공지능코딩,1.0,전공기초,인공지능학과,,,"""인공지능코딩""은 대학 1학년 학생들에게 인공지능 개발에 많이 사용되는 파이썬 코딩의 기초를 공부합니다.
연습문제 풀이와 과제를 통해 향후 전공교과목에서 인공지능 모델의 구현과 응용 프로그래밍을 위한 실용적
코딩능력 향상의 기초를 다지고자 합니다.

파이썬을 포함하여 코딩을 처음 접하는 인공지능학과 및 LIONS칼리지 1학년 학생을 대상으로 합니다."
인더스트리얼디자인1,3.0,전공심화,디자인공학전공,,,"인더스트리얼 디자인의 프로세스 및 기본 개념, 방법론 등에 관한 이해를 바탕으로 기능 창출력, 구조 해석력, 조형 능력 등 산업디자인의 실기 기초가 되는 요소에 대해 분석적이면서 동시에 창의적인 자세를 기를 수 있도록 다양한 아이디어 발상과 전개법을 경험한다."
인류사회를변화시킨패션의힘,,교양선택,ERICA 대학,,,"인류의 역사와 더불어 존재해 온 패션(옷)은 생존의 수단, 미의식의 발로로써 인간과 불가분의 관계에 있습니다. 특히 현대사회에서 패션은 개인의 정체성 뿐만 아니라 사회,문화적 가치 및 이데올로기를 상징하는 지표가 되어 시각적 커뮤니케이션의 수단으로 강력한 힘을 발휘하고 있습니다. 따라서 패션에 대한 다각적 통찰은 오늘날과 같은 소통과 공감의 시대에 더욱 중요합니다. 본 교과목은 인류 역사속에서 나타나는 패션과 힘의 관계를 학습하고 이것이 정치, 사회, 문화, 예술 등 다양한 방면에서 인류의 삶과 다양하게 발전시킨 원동력의 되었음을 이해하도록 합니다. 또한 패션과 개인, 패션과 사회의 관계를 다양한 시각으로 살펴봄으로써 패션의 효용과 기능을 이해하도록 합니다. 나아가 패션으로서 자아를 표현하고 타인을 이해하며 패션을 깊이있게 통찰함으로써 성숙한 의생활을 위한 소양을 기르며 올바른 패션문화에 참여할 수 있고 성공적인 의생활 영위에 도움을 주고자 합니다."
인류학과지역연구,2.0,전공핵심,문화인류학과,,,"이 수업은 인류학적 관점에서 지역연구를 하기 위한 일반적인 개념과 방법론을 공부한다. 도입부에 대한 공부 이후 이 수업에서는 지역연구의 개념과 방법을 적용해 지구 상의 특정 문화권을 택해 보다 심도있는 사례연구를 진행한다. 학기의 후반부에 학생들은 소규모 작업팀을 구성해서 자신들이 관심있는 주제에 대해 연구, 발표함으로써 해당 문화권에 대한 구체적인 사례에 대한 지식을 함양하는 연습을 한다. "
인류학에의초대,1.0,전공기초,문화인류학과,,,"이 수업은 인류학에 대한 기초적 이해를 위해 마련되었다. 과거, 헌재, 미래의 시간 축을 따라 인류의 다양한 적응방식을 살펴보고, 지금까지 당연하게 여겨운 자문화 중심주의적 상식과 고정관념을 넘어 문화를 상대적으로 자리매김하도록 한다. 이를 통해 현대 인류사회의 주요 문제들을 해석하고 극복방안과 전망을 모색할 수 있는 지적 역량을 키운다. 
수업은 일방적인 강의를 피하고 학생들의 주체적인 탐구와 발언, 토론을 통해 능동적인 자기 생각을 전개하는 방향으로 진행된다. "
인류학의응용과실천,3.0,전공핵심,문화인류학과,,,"인류학적 연구와 지식을 다양한 차원의 현실 사회문제 해결에 어떻게 응용하고 실천하였는지 사례를 통해 살펴보고, 오늘날의 세계 속에서 인류학적 지식과 문화 훈련을 바람직하게 활용하고 실천할 수 있는 지적 역량을 키운다."
인류학의이론과역사,4.0,전공핵심,문화인류학과,인류학개론,,본 강의는 인류학 전공핵심 수업으로서 19세기부터 20세기 후반까지 영미 인류학의 역사를 주요 인류학자와 이론들을 중심으로 다루고자 한다. 본 강의는 2 세기 동안 어떻게 주요 쟁점과 논쟁이 구체적인 인류학 분야에서 누구에 의해 논의 되었고 어떤 사회적 정치적 문화적 맥락에서 변했는지를 살펴보고 이같은 인류학의 성장이 다른 사회과학과 학계 발전에 어떤 영향을 주었는지 살펴본다.
인류학현지조사및실습,2.0,전공핵심,문화인류학과,,,"다른 학문 분야에 비하여 문화인류학의 가장 특징적인 연구방법은 Fieldwork에 있다고 볼 수 있다. 문화인류학의 성립 이래 수많은 인류학자들은 그 연구 대상지역에 일정 기간 체류하면서 그 사회와 문화를 보다 과학적으로 연구하여 오고 있다. 그것을 통하여 민족지를 서술하고 가설을 검증하였으며, 새로운 이론을 도출해 내었던 것이다. 그러한 Fieldwork의 역사와 방법, 오늘날의 문제점, 새로운 조사경향 등이 이 과목에서 다루어진다. 아울러 우리나라에서의 인류학적 Fieldwork 방법의 개발과 앞으로의 방향을 모색해 본다."
인터랙티브프로토타입,3.0,전공심화,영상디자인학과,,,"디지털미디어의 시·공간적 표현과 상호작용적 컴퓨터 기술을 활용한 인터랙티브 미디어의 새로운 프로토타입을 연구한다. 인문/사회학적인 지식을 기반으로 사용성, UX/UI, 메타포, 어포던스등의 개념들을 이해하고 효과적인 지식기반의 인간/컴퓨터 상호작용 체계를 활용하여 인간과 컴퓨터 인터페이스와 인터랙션을 활용하여 효율적인 인터랙티브 프로토타입 제작을 목표로 한다."
인터렉티브공연디자인,3.0,전공심화,컬처테크놀로지전공,무대공간분석과 디자인,,"여러 분야의 전통적 예술분야와 빠른 속도로 발전하는 디지털 기술이 결합하여 예전에 상상하지 못했던 새로운 형태의 융합형 예술 포맷이 창조되고 있으며, 다중이 실시간으로 경험하는 퍼포밍 아트 분야도 이와 같은 흐름에 적극 동참하고 있다. 관객과 퍼포머의 동시적, 유기적 공감과 관객과 퍼포머의 창작 경험/ 역량의 다양화를 통해, 참여자들이 가상의 경험을 통해 자신의 역량을 발휘하는 새로운 개념의 예술형태를 기획하고 디자인하는 것을 목표로 한다. 이러한 기반 기술은  참여형 엔터테인먼트의 한 형태로 발전 하였지만 다양한 예술 교육, 교육 및 시뮬레이션 분야에도 응용 가능성을 쉽게 발견할 수 있다."
일러스트레이션,2.0,전공핵심,융합디자인학부,,,"기초조형 요소인 그래픽디자인은 전통적인 인쇄매체에서부터 새로운 디지털 미디어에 이르기까지 본격적인 실무 디
자인에 입문하기 위한 단계로 시각 전달 매체 디자인의 기본기를 다지는 과정이다. 인문학적 소양과 과학적 사고를 통해 체계적인 시각 이미지 생산의 방법을 연습하며, 또한 감성적 관찰과 창의적 표현을 향상시켜 이후 결과물을 만들어내는 능력을 배양한다. 이에 본 교과는 IC-PBL 교과목으로 현장과 함께 협업함으로써 다양한 정보를 그래픽으로 시각화하는 훈련을 하게 된다. 학생 스스로 문제를 파악하고 그 문제의 답을 해결해가는 과정을 통해 전공분야의 역량을 키워 실무현장에서 필요한 디자이너의 역할과 기업문화를 이해하며 디자이너간의 협업, 의사소통 및 결정과정을 걸쳐
창의적인 디자인 프로세스와 실무를 경험한다. 또한 여러 구성원들과의 상호교류를 통해 창의적 문제해결 능력과 협업 능력을 갖춘 인재양성의 기회를 얻을 수 있다."
일러스트레이션과캐릭터디자인1,2.0,전공핵심,커뮤니케이션디자인학과,,,"다양한 재료와 표현 방법, 또는 일러스트레이션의 효과 등을 연구하여 실습하며 객관성과 폭넓은 시각적 표현에 따른 창의력적 표현(솔루션) 개발한다.
사용자를 설들할 수 있는 자신만의 독특한 작품제작방법을 활용함으로써 캐릭터의 효과적 표현을 연구하며 질적으로 향상되어있는 차별화 캐릭터를 개발한다.
"
일반구조,3.0,전공핵심,건축학전공,,,"일반구조는 건축물을 구성하는 다양한 재료와 부재들의 물리적, 역학적 성질을 바탕으로 건축물의 기능적, 사회적 요구에 맞추어 어떻게 하나의 건축물을 만들어 나아가는가를 공부하는 과목이다.  [통합 개요] 본 수업에서 학습하고자 하는 주요 내용은 다음과 같다.
건축구조기준(KDS기준)에 제시된 설계 하중의 개념
지진하중 산정법(등가정적해석법의 기본이론 학습)
주요 구조부재의 이론 : 보, 기둥, 벽체, 바닥판
주요 구조시스템의 이론1 : RC구조, 강구조, 목구조, 조적조, 기초구조
주요 구조시스템의 이론2 : 공간(아치, 볼트, 케이블 구조, 공간트러스), 초고 
층 구조시스템, 조립식구조시스템, 내진 / 면진 / 제진구조의 이해
스마트빌딩구조"
일반데이터사이언스,3.0,전공핵심,의약생명과학과,,,"생물학에서 생산되는 다양한 데이터를 이해하고 데이터과학을 이용한 문제해결 능력을 습득함.																				
"
일반물리학1,1.0,전공핵심,소재·부품융합전공,미분적분학1,,"본 과목에서는 과학과 공학을 전공할 이공계 학생들을 대상으로 물리학의 기본원리와 개념을 다룬다. 주요내용은 뉴턴 역학, 파동, 열역학 등이다.

[** 본 강의는 꾸준히 성실하게 하는 학생들에게 적합한 강의입니다.  학생들이 스스로 직접 해야 하는 것을 매번 유도하기에 수동적으로 강의를 임할 학생들은 상당히 귀찮을 수 있습니다.  그 점 유의하고 수강신청을 하였으면 좋겠습니다. **] [통합 개요] 자연과학의 기초를 이루는 물리학은 이공계 학생들이 전공을 더 이해하고 문제를 풀어나가는데 있어서 매우 중요하므로, 기본적인 물리법칙들과 기본 개념을 파악하고 실제 자연 현상과 전공 과목에 어떠한 형식으로 적용되는가를 이해하는 능력을 키운다.  [통합 개요] 자연과학의 모든 분야와 공학의 기반이 되는 물리학은 기초 필수 과정이며, 
물리학의 주요한 내용들인 역학, 파동, 열역학 지식의 습득하는 것을 목표로 한다. [통합 개요] 본 과목은 과학과 공학을 전공할 이공계 학생들의 전공수업에 필요한 기초물리학 내용의 전반부로서 뉴턴역학, 유체역학, 파동의 물리법칙을 공부한다.  [통합 개요] 이공계열 학생들이 상급 학년에서 전공을 충실히 이수하기 위해서 필요한 기초를 제공하는 내용으로 뉴튼 역학, 강체의 공간 운동, 유체 역학, 진동 및 파동 등에 대한 기본적인 원리를 이해하고 응용하는 능력을 기른다.
-@개념 파악 및 수학을 이용한 물리적 의미를 알고자 하는 수업이다.
-@반복적인 개념을 이용하여 이해를 돕는다. [통합 개요] 본 과목을 수강하는 학생들은 과학과 공학을 이해하는 데에 있어서 필수적인 물리학적 기본 원리와 개념을 배운다. 그 중에서도 우리의 삶 곳곳에서 관찰할 수 있는 물체의 운동, 즉 역학에 대해 주로 배운다. 물체의 운동을 기술하는 방법을 배우는 과정에서 물리학 지식의 올바른 습득을 통해 향후 수강하게 될 전공 과목의 초석을 마련하고, 학문의 발달과정을 살펴봄으로서 과학적 사고 능력의 증진을 꾀한다. [통합 개요] 본 수업은 물리가 쉽다는 생각을 갖을 수 있도록 줄거리 및 주제 파악을 할 수 있게 만드는 수업이다.
개념 파악 및 수학을 이용한 물리적 의미를 알고자 하는 수업이다.
-@ 반복적인 개념을 이용하여 어렵지만 쉽게 이해할 수 있도록 한다.
-@ 공부하지 않는 학생의 학점은 절대 보장할 수 없다.
-@ 교수님과 즐겁게 대화할 수 있는 수업이다 [통합 개요] 일반물리학1, 2에서는 역학, 열역학, 전기, 자기, 광학과 관련하여 물리학의 기본원리와 전반적인 개념을 다룬다.
일반물리학1에서는 주로 고전역학을 다루며 힘의 평형, 뉴튼의 법칙, 운동량, 에너지 보존법칙, 중심력 하의 운동, 강체운동이 포함된다. 일반물리학2는 주로 물질 세계를 이해하는 중요한 열쇠 중의 하나인 전자기 현상과 광학의 개념을 다룬다.  [통합 개요] 본 과목에서는 과학과 공학을 전공할 이공계 학생들을 대상으로 물리학의 기본원리와 개념을 가르친다. 물리학은 모든 순수 및 응용과학의 기초를 이루고 있는 학문으로서 물리학적 지식의 올바른 습득은 각 전공의 체계적이고 깊이 있는 탐구를 위해 필수적이라 할 수 있다. 다양한 물리계를 예로 들어 전공에의 응용이 용이하도록 하고 현상과 법칙의 상호의존성을 배워 자연을 보다 깊이 이해할 수 있게 한다. 물리학의 기본원리와 개념을 바탕으로 운동과 파동, 유체 및 열역학을 내용들을 본 과목을 통해서 이해한다. [통합 개요] 본 과목에서는 자연과학과 공학을 전공할 이공계 학생들을 대상으로 물리학의 기본원리와 개념을 다룬다. 주요 내용은 Newton의 운동법칙, 운동량과 에너지, 회전, 진동과 파동 등이다. 각 전공 분야에서 다루게 될 대상의 물리적 성질을 기본 원리로부터 이해할 수 있다면 전공 학습은 물론, 관련 문제 해결에 있어 매우 유용한 도구를 지니게 되어 폭넓고 깊이 있는 시야를 확보하게 된다. 그리고 더 나아가 세상을 합리적으로 이해하는데 필수적인 과학적 사고의 방법을 체득하게 된다. 
 [통합 개요] 본 과목에서는 과학과 공학을 전공할 이공계 학생들을 대상으로 물리학의 기본원리 와 개념을 다룬다. 주요내용은 뉴턴 역학, 파동, 열역학 등이다. [통합 개요] 본 과목에서는 과학과 공학을 전공할 이공계 학생들을 대상으로 물리학의 기본원리와 개념을 다룬다. 주요내용은 뉴턴 역학, 파동, 열역학 등이다."
일반물리학2,1.0,전공기초,로봇공학과,일반물리학1,,"본 과목에서는 과학과 공학을 전공할 이공계 학생들을 대상으로 물리학의 기본 원리와 개념을 다룬다. 주요 내용은 전자기학, 광학 등이다. [통합 개요] 본 과목을 수강하는 학생들은 과학과 공학을 이해하는 데에 있어서 필수적인 물리학적 기본 원리와 개념을 배운다. 그 중에서도 우리의 삶 곳곳에 영향을 미치고 있는 전자기학에 대해 주로 배운다. 전자기학은 현대물리학의 기본이 되는 매우 중요한 학문이다. 전기와 자기를 배우는 과정에서 물리학 지식의 올바른 습득을 통해 향후 수강하게 될 전공 과목의 초석을 마련하고, 학문의 발달과정을 살펴봄으로서 과학적 사고 능력의 증진을 꾀한다.  [통합 개요] 일반물리학2는 이공계열 학생들이 상급 학년에서 전공을 충실히 이수하기 위해서 필요한 기초를 제공하는 내용으로 열역학, 전자기학, 회로이론 등에 대한 기본적인 원리를 이해하고 응용하는 능력을 기른다. [통합 개요] 자연과학의 기초를 이루는 물리학은 이공계 학생들이 전공을 더 이해하고 문제를 풀어나가는데 있어서 매우 중요하므로, 기본적인 물리법칙들과 기본 개념을 파악해서 실제 자연 현상과 전공 과목에 어떠한 형식으로 적용되는가를 이해하는 능력을 키운다."
일반물리학실험1,1.0,전공핵심,소재·부품융합전공,,,"물리학은 다양한 자연 현상을 과학적으로 탐구하고 이해하고자 하는 학문이다. 이를 위해 많은 관찰과 실험은 필수적이며 획득한 여러 실험 결과는 반드시 이론적인 체계와 비교, 설명되어야 하고 이 두 가지가 성공적으로 이루어질때 비로서 그 결과와 해석은 물리학의 지식 체계로서 인정받게 된다. 본 수업은 이러한 과정을 간단하게 따라가 보는 것으로 기초적인 실험을 통해 얻은 결과들을 일반 물리학 수업 시간 때 배웠던 내용과 비교해 봄으로써 그 주제에 대한 이해를 높이고, 더 나아가 학생들이 실험적 문제 해결 방법에 익숙해 지는데 도움을 주고자 한다.  
The major aim of this class is to perform basic physics experiments, compare experimental results to the thoeries and understand the fundamental physics behind them.  
The fields to be covered in this class are linear and rotational motions, energy and momentum. There will be a quiz cession before starting each week's experiment and pre/post-experiment reports are required to be submitted to teaching assistants. 
"
일반물리학실험2,1.0,전공기초,응용물리학과,,,"일반물리학실험2는 전기자기학, 광학 및 현대물리학 부분의 지식을 실험에 적용하여 직접적인 경험으로 물리학을 이해한다. 
일반물리학 실험1과 달리 일반물리학 실험2는 미시세계에 대한 물리현상을 설명하고 증명하기 위한 실험들로 구성되어있다. 
실험결과를 report로 제출해야한다. 각 실험에서 요구되는 물리학적 이론을 질문을 통해 숙지한다. 

The fields to be covered in this class are electromagnetics, optics and modern physics. 
For each week's experiment, pre/post-experiment reports are required to be submitted to teaching assistants.   [통합 개요] 일반물리학실험2는 전기자기학, 광학 및 현대물리학 부분의 지식을 실험에 적용하여 직접적인 경험으로 물리학을 이해한다. 
일반물리학 실험1과 달리 일반물리학 실험2는 미시세계에 대한 물리현상을 설명하고 증명하기 위한 실험들로 구성되어있다. 
실험결과를 report로 제출해야한다. 각 실험에서 요구되는 물리학적 이론을 질문을 통해 숙지한다. "
일반생물학1,1.0,전공기초,생명나노공학과,,,"21세기 첨단 바이오융합분야에 관심있는 공학도에게 생물학 분야를 쉽게 소개하는 강좌입니다. [통합 개요] 일반생물학은 의학, 약학, 화학 등의 기초 지식을 모두 포함하는 학문이다. 생체를 구성하고 있는 작은 분자부터 그 분자들이 모여 세포를 만들고 세포들이 조직을 이루어 우리몸에서 각각 다양한 기능을 수행하고 있다. 일반생물학I은 약학대학 학생으로서 우리 인간의 몸을 다양한 관점에서 바라보고 이해하는 기초 지식을 제공하여 기초의학, 약학, 화학, 생화학 등의 기초 학습을 통하여 고학년의 전문과목 학습에 기초가 되는 중요한 학습이다. [통합 개요] 강의내용이 기초적인 것부터 심화적인 상세함을 포함하고 있기 때문에 분자생명과학과 신입생을 비롯하여 생명과학 관련 분야에 본격적으로 입문하려고 하는 학생들의 수강이 의무적으로 수강하여야 한다. 특히 영문 원서를 교과서로 채택하고 있고 미국 유수대학과 대등한 수준이며 강의내용도 매우 구체적이다. 특히 “고등학과 생물 II”과 비교할 때 상당한 수준 차가 있다. 수강학생은 학기 내내 적극적이고 열정적인 수업태도를 필연적으로 견지하여야 한다. 이러한 어려움을 극복하면 생명세계를 이해하는데 크게 도움이 될 것이고 차후 생명과학의 어떤 분야도 도전할 수 있는 안목을 갖출 수 있을 것이다. 2024 학년도에는 12판의 교과서가 사용될 것이다. "
일반생물학2,1.0,전공기초,의약생명과학과,,,"“일반생물학 1”의 흐름을 이어가는 기초 생명과학을 다루는 강좌이다.  
주요 강의 주제는 생명과학에서 정보의 흐름 (central dogma)과 이를 실행에 옮기는 세포과정을 다루고자 한다. 강의내용이 기초적인 것부터 심화적인 상세함을 포함하고 있기 때문에 생명과학에 본격적으로 입문하려고 하는 학생들의 수강을 권장한다. 수강학생은 도전적이고 적극적인 수업태도를 견지할 것을 요구한다. 시험문제는 5지 선택형 객관식과 간단한 서술형의 주관식으로 구성되어 있으며 점수 분포는 70:30 이다. 시험의 수준은 난이도가 있으나 수업 시간을 경청하고 이해한 학생들에게는 그렇게 어렵지 않다. "
